w/o Attantion  2D U-Net 3D の Nifti を分割して学習(入力が nifti)
case_id,class,dice,hd95,asd,boundary_iou
case003,nerve,0.4599053790800302,16.251153777887,4.55712096426207,0.2833935018050541
case003,spinal,0.6425516087037382,389.7357675478856,120.90104146845148,0.3327816091954023
case006,nerve,0.26969013613964754,58.943544518366814,13.438442796283407,0.16086011113795604
case006,spinal,0.6241489270016375,353.1682706133913,82.5136561760483,0.2725969721401057
case010,nerve,0.4924336392954602,11.908505363814553,3.2093500866818645,0.3285300891749838
case010,spinal,0.6318871439978706,352.84769874600937,67.26177847829061,0.37527424308907414
case011,nerve,0.48851088160668976,13.21457528640251,3.6476870504697705,0.31927494615936824
case011,spinal,0.7532831824556929,41.29845638761817,18.545637912958064,0.5201787043931496
case028,nerve,0.470244052659943,10.44030650891055,2.9690261243384004,0.32096317280453257
case028,spinal,0.0,,,0.0
case029,nerve,0.4736745213549337,16.850161165208203,5.369934851206962,0.33384525601253184
case029,spinal,0.3501800571215696,398.1155997641896,284.1830707530271,0.1376342387871131
case030,nerve,0.48410519791020984,8.981441701645394,2.4433792112968846,0.3434442912481124
case030,spinal,0.7065157371617891,360.8431674273141,20.344125708389974,0.40457536822312756
case031,nerve,0.3272805323030693,22.16908022538205,6.55152279568269,0.18828550481776288
case031,spinal,0.5588692140416278,391.8277682860162,99.47114335290554,0.30282485875706217
case032,nerve,0.5196933397220891,15.402921800749363,3.712036248927443,0.36710291276293244
case032,spinal,0.0,,,0.0
case033,nerve,0.5776905462872097,12.794033162553166,3.146699156091581,0.3990244196200054
case033,spinal,0.0,,,0.0
case034,nerve,0.42655285293995776,22.328163129949527,6.116125255162666,0.26399336610791924
case034,spinal,0.0,,,0.0
case035,nerve,0.4025715597734578,29.15711740640759,6.96594603356369,0.2518485608200311
case035,spinal,0.0,,,0.0
case036,nerve,0.45100546321050794,26.010024717730445,7.100530156670269,0.28288021669341895
case036,spinal,0.0,,,0.0
case037,nerve,0.4705065359477124,13.288622903551792,3.7817175328602297,0.3350994148641961
case037,spinal,0.0,,,0.0
case039,nerve,0.36577738311262115,32.49282348824347,7.727799054776875,0.22878752068069014
case039,spinal,0.0,,,0.0
case040,nerve,0.1729750931555207,44.30646115410257,13.989105460749998,0.11764469695448797
case040,spinal,0.0,,,0.0
MEAN,nerve,0.4282885696561913,22.158683519431563,5.92040142368905,0.282811123853999
MEAN,spinal,0.26671474190524536,326.83381839606056,99.03149340715301,0.14661662466156467
MEAN,overall,0.34750165578071834,114.8858984818839,34.258559853438946,0.21471387425778182
